                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                0.82153,                0.47411,                0.96422,                0.96251,                 0.9015,                0.93042,                0.65255,                 1.0144,                0.47341,                 1.0551,               0.003268,               0.003268,               0.003268
                    138,                0.81475,                0.45726,                0.96471,                0.96192,                0.90173,                0.93119,                0.65222,                 1.0146,                0.47328,                  1.055,              0.0032185,              0.0032185,              0.0032185
                    139,                0.81724,                0.46411,                0.96353,                 0.9621,                0.90108,                 0.9313,                0.65219,                 1.0158,                 0.4733,                  1.056,               0.003169,               0.003169,               0.003169
                    140,                0.80869,                0.45864,                0.96465,                0.96018,                0.90207,                 0.9312,                0.65236,                 1.0158,                0.47345,                 1.0562,              0.0031195,              0.0031195,              0.0031195
                    141,                0.80401,                0.45907,                  0.962,                0.96164,                0.90159,                0.93141,                0.65204,                 1.0157,                 0.4721,                  1.056,                0.00307,                0.00307,                0.00307
                    142,                0.80603,                0.46214,                0.96013,                0.96247,                0.90057,                0.93122,                0.65258,                 1.0153,                0.47222,                 1.0556,              0.0030205,              0.0030205,              0.0030205
                    143,                0.80211,                0.44754,                0.95872,                0.96337,                0.90079,                 0.9306,                0.65286,                 1.0145,                0.47209,                  1.055,               0.002971,               0.002971,               0.002971
                    144,                0.79243,                0.44772,                0.95322,                0.96461,                0.89983,                 0.9307,                0.65322,                 1.0143,                0.47173,                 1.0545,              0.0029215,              0.0029215,              0.0029215
                    145,                0.79229,                0.44513,                0.95477,                0.96381,                0.89906,                0.93065,                0.65338,                 1.0139,                0.47135,                 1.0545,               0.002872,               0.002872,               0.002872
                    146,                0.79973,                0.44753,                0.95645,                0.96406,                0.89956,                0.93074,                 0.6533,                 1.0144,                0.47196,                 1.0548,              0.0028225,              0.0028225,              0.0028225
                    147,                0.79082,                 0.4477,                0.95373,                0.96374,                0.89994,                0.93073,                 0.6535,                 1.0144,                0.47218,                 1.0544,               0.002773,               0.002773,               0.002773
                    148,                0.79868,                0.45843,                0.95376,                0.96329,                0.89956,                0.93067,                0.65291,                 1.0147,                0.47249,                 1.0545,              0.0027235,              0.0027235,              0.0027235
                    149,                0.78481,                0.44296,                0.94951,                0.96313,                0.89841,                 0.9303,                0.65286,                 1.0149,                 0.4725,                 1.0544,               0.002674,               0.002674,               0.002674
                    150,                0.78148,                0.44133,                0.94907,                0.96257,                0.89861,                0.93031,                0.65298,                 1.0152,                0.47235,                 1.0547,              0.0026245,              0.0026245,              0.0026245
                    151,                0.78212,                0.44584,                0.95471,                0.96371,                0.89804,                0.93039,                0.65331,                 1.0157,                0.47207,                 1.0548,               0.002575,               0.002575,               0.002575
